label,text
spam,"Hi, Send this message to 10 people and you'll receive $500 from us. "
spam,Click here to verify your Netflix billing information or your account will be terminated. Thanks.
ham,"I'm at the airport, see you in two hours."
ham,Your Uber driver is 2 minutes away. Best regards.
ham,"Hi, just touching base on the proposal we discussed last week."
spam,"Hi, WINNER!! As a valued network customer you have been selected to receive a 900 prize reward. Cheers!"
ham,"Hi, Can we move the call to 4pm? Something came up.  "
ham,"Hi, Limited edition release dropping Friday — sign up to get early access. "
ham,"Just finished the report, sending it to you by email shortly."
ham,"Hello, Sending love from grandma, she misses you. Best regards."
ham,"FYI: Mom said dinner is at 7, please don't be late. Cheers!"
ham,"FYI: Working from home today, ping me on Slack if you need me. Best regards."
ham,Could you review the PR I opened this morning?  
spam,"Hello, Your tax refund has been approved. Provide bank details to receive funds. Thanks."
ham,"Hello, I'll be at the gym from 6 to 7, ping me after. Best regards."
spam,Hurry! Limited time offer — 80% off all watches at our online store.
spam,Claim your gift card now! Just complete this quick survey. Thanks.
ham,Looking forward to seeing you at the wedding next week.
spam,"Note: Congratulations! You are the lucky winner of our $5,000,000 lottery. Reply YES to claim."
spam,Earn $5000 a week from home. No experience required. Apply now!
spam,"Note: Your number has been chosen for a guaranteed cash prize of £1,500.  "
ham,FYI: Reminder: doctor's appointment at 9am tomorrow.  
ham,Congrats on the promotion! Drinks on me this weekend.
ham,"Hi, Limited edition release dropping Friday — sign up to get early access."
ham,"Hi, Standup is at 9:30 today, please join via Zoom."
spam,FYI: ALERT: unusual sign-in. Verify your password at http://g00gle-verify.com Cheers!
spam,IRS notice: You have an unclaimed refund of $1289. Submit details to claim.  
spam,Earn while you sleep! Passive income system reveals all secrets.  
ham,"FYI: Standup is at 9:30 today, please join via Zoom.  "
ham,"Hi, Library books are due next Wednesday, just a heads up. Best regards."
ham,"Sending love from grandma, she misses you."
spam,"Hello, OFFICIAL NOTICE: Your email storage is full. Verify here or lose access. Best regards."
ham,FYI: Can we move the call to 4pm? Something came up. Thanks.
ham,"Hello, Don't forget to bring the notes for the study session tonight. Thanks."
ham,New blog post is up: 10 tips for productive remote work.
spam,Note: Save the date: our annual summer sale starts June 1st! Thanks.
spam,FYI: Your package could not be delivered. Reschedule at http://bit.ly/2xfake-dhl Thanks.
ham,"Hi, Quick question — do you still have my charger?  "
ham,"Hello, Thanks for picking up the groceries earlier, really appreciate it. "
ham,"Thanks for picking up the groceries earlier, really appreciate it."
ham,"FYI: I left the door unlocked, just come in when you arrive."
ham,"Hi, I'm at the airport, see you in two hours. Thanks."
spam,Note: Crypto airdrop alert: claim 5 ETH worth of tokens before midnight. Cheers!
ham,"FYI: Mom said dinner is at 7, please don't be late. Thanks."
ham,"Hello, Great game tonight! Same time next week?"
spam,We've detected a virus on your computer. Call this number immediately.
spam,"Hi, Send this message to 10 people and you'll receive $500 from us."
ham,FYI: Could you review the PR I opened this morning? Best regards.
ham,"Meeting rescheduled to Thursday 2pm, please update your calendar."
ham,"Hello, Thanks for picking up the groceries earlier, really appreciate it. "
ham,"Hello, Happy birthday! Hope you have an amazing day with the family. Cheers!"
spam,"Hi, Congratulations! You are the lucky winner of our $5,000,000 lottery. Reply YES to claim.  "
spam,"Hi, Re: invoice attached — please wire payment by EOD or your account is closed."
ham,"Forgot to mention — bring an umbrella, supposed to rain."
ham,Note: Welcome to the team! Looking forward to working with you. Cheers!
spam,FYI: You won a free cruise to the Bahamas! Confirm your booking now.
ham,"I left the door unlocked, just come in when you arrive."
spam,FYI: Get 15% off your next order with code WELCOME15 at our store. 
spam,"Note: Your number has been chosen for a guaranteed cash prize of £1,500."
spam,"You've been pre-approved for a $50,000 loan! No credit check required. Thanks."
ham,"Hello, Just confirming our reservation for 7:30 tonight. "
ham,Great game tonight! Same time next week?
ham,"Hello, Just confirming our reservation for 7:30 tonight. Cheers!"
ham,"Hello, Reminder: rent is due on the 1st, transfer when you can. Thanks."
spam,Note: Click here to claim your prize: http://192.168.0.1/win  
ham,Your appointment with Dr. Smith is confirmed for Monday at 3pm.
spam,"Hello, Don't miss our weekend brunch special, available Sat and Sun."
ham,Your appointment with Dr. Smith is confirmed for Monday at 3pm. Cheers!
spam,"Hi, Limited slots: secure your spot in our exclusive trading program now. Thanks."
spam,FYI: Click here to claim your prize: http://192.168.0.1/win  
spam,FYI: ALERT: unusual sign-in. Verify your password at http://g00gle-verify.com Cheers!
ham,Could you review the PR I opened this morning?
ham,"FYI: Flight delayed two hours, will text you when I board. "
ham,"Hey, are we still meeting for coffee tomorrow at 10am?"
ham,"Hello, Loved the cake you made for the office party!"
ham,Note: Just a reminder that the office will be closed Monday for the holiday. Thanks.
ham,FYI: Reminder from your bank: your monthly statement is now available. Best regards.
spam,URGENT: your social security number has been suspended. Press 1 to speak to an agent.
ham,"Note: Running 5 minutes late, sorry! Order the usual for me please. Thanks."
ham,"Flight delayed two hours, will text you when I board. Cheers!"
spam,"You've been pre-approved for a $50,000 loan! No credit check required."
spam,"Hello, Click here to claim your prize: http://192.168.0.1/win  "
spam,Note: Hurry! Limited time offer — 80% off all watches at our online store. Cheers!
ham,Reminder: doctor's appointment at 9am tomorrow.
spam,"FYI: Limited time only: free trial of our diet pills, click now. Thanks."
ham,Can we postpone? I'm not feeling well today.
spam,Wire transfer needed urgently. Please send $500 to account 8819-2341.
spam,Romantic Russian women are waiting to meet you. Sign up free!  
ham,"Note: The interview went well, thanks for prepping me!  "
spam,"Hi, You've been pre-approved for a $50,000 loan! No credit check required. Best regards."
ham,FYI: Your flight check-in opens 24 hours before departure.
spam,WINNER!! As a valued network customer you have been selected to receive a 900 prize reward. 
spam,Note: We've detected a virus on your computer. Call this number immediately. Cheers!
ham,"Hello, Sending you the recipe later, it's super easy. "
spam,FYI: You have inherited $20 million from a deceased Nigerian prince. Thanks.
ham,"Hi, The package arrived this morning, thanks for shipping it so fast."
spam,FYI: Verify your Apple ID now to avoid suspension at app1eid-login.com 
spam,"Hi, Free Adobe license keys here, no scam! Best regards."
spam,Note: You won a free cruise to the Bahamas! Confirm your booking now. Cheers!
ham,FYI: Your flight check-in opens 24 hours before departure. Cheers!
spam,"Hi, URGENT: your social security number has been suspended. Press 1 to speak to an agent. "
spam,"Congratulations! You are the lucky winner of our $5,000,000 lottery. Reply YES to claim."
ham,FYI: Limited edition release dropping Friday — sign up to get early access.
ham,"Note: Hi, just touching base on the proposal we discussed last week."
ham,"Hi, Just confirming our reservation for 7:30 tonight."
spam,ALERT: unusual sign-in. Verify your password at http://g00gle-verify.com
spam,"Hello, Get 15% off your next order with code WELCOME15 at our store. Best regards."
spam,FYI: Free shipping on orders over $50 this week at our online shop. Thanks.
spam,Send this message to 10 people and you'll receive $500 from us.
ham,"FYI: Just finished the report, sending it to you by email shortly. Thanks."
ham,"Hi, Meeting rescheduled to Thursday 2pm, please update your calendar."
ham,Note: Reminder from your bank: your monthly statement is now available. Thanks.
ham,FYI: Order #4521 has shipped and will arrive by Friday. Cheers!
ham,FYI: Reminder: doctor's appointment at 9am tomorrow.
spam,Get 15% off your next order with code WELCOME15 at our store.
spam,Save the date: our annual summer sale starts June 1st!
spam,Verify your Apple ID now to avoid suspension at app1eid-login.com
ham,"Standup is at 9:30 today, please join via Zoom."
ham,"Meeting rescheduled to Thursday 2pm, please update your calendar. Cheers!"
spam,"Hello, Free Adobe license keys here, no scam!"
spam,"Free Adobe license keys here, no scam!"
spam,"Make $300 daily working from home, no skills needed!"
ham,FYI: Happy birthday! Hope you have an amazing day with the family.  
spam,FYI: Get a discount on luxury watches — limited stock available!
ham,"Hi, Lunch tomorrow? That new ramen place near the office. Cheers!"
ham,"Mom said dinner is at 7, please don't be late."
spam,"Hi, Casino bonus: $1000 free chips when you sign up today! "
spam,"Note: Lose 20 pounds in 10 days with this miracle pill, no exercise! Best regards."
spam,Free iPhone 15 Pro Max! Just complete this short survey to claim yours.
spam,Note: Click here to confirm your subscription or lose access forever. 
spam,Urgent action required: update your bank details to keep your account active. Cheers!
ham,"Hello, Congrats on the promotion! Drinks on me this weekend. Best regards."
ham,FYI: Just landed safely. Call you once I get to the hotel. 
ham,"Hi, Hi, just touching base on the proposal we discussed last week.  "
spam,FYI: Spring sale at Nike! 20% off all running shoes this weekend. Best regards.
ham,Note: Can we move the call to 4pm? Something came up. Best regards.
spam,"Lose 20 pounds in 10 days with this miracle pill, no exercise! Best regards."
ham,"Hello, Project status update attached. Let me know if you have questions. "
ham,"Hello, Your appointment with Dr. Smith is confirmed for Monday at 3pm."
ham,"Hello, Happy birthday! Hope you have an amazing day with the family. Thanks."
spam,"Hi, Get 15% off your next order with code WELCOME15 at our store. Cheers!"
ham,"Note: Forgot to mention — bring an umbrella, supposed to rain.  "
ham,"Meeting rescheduled to Thursday 2pm, please update your calendar. "
spam,"Hello, Earn $5000 a week from home. No experience required. Apply now!  "
ham,"Hello, Did you see the new episode last night? It was incredible. "
spam,"Hello, Click here to verify your Netflix billing information or your account will be terminated.  "
spam,Claim your gift card now! Just complete this quick survey.
spam,Note: Limited slots: secure your spot in our exclusive trading program now. Cheers!
ham,"Hello, I left the door unlocked, just come in when you arrive. Cheers!"
ham,Just confirming our reservation for 7:30 tonight.
spam,Note: Urgent action required: update your bank details to keep your account active. 
ham,Tickets for the concert are confirmed for two.
ham,"Hello, The package arrived this morning, thanks for shipping it so fast.  "
ham,"Hello, Library books are due next Wednesday, just a heads up. Best regards."
ham,"FYI: Thanks for picking up the groceries earlier, really appreciate it. Best regards."
ham,"Hello, Loved the cake you made for the office party! Best regards."
spam,"Note: Make $300 daily working from home, no skills needed! Best regards."
ham,"Hello, I left the door unlocked, just come in when you arrive. Thanks."
spam,"Hi, Limited slots: secure your spot in our exclusive trading program now. "
spam,Note: Refinance your mortgage at 0.99% APR — pre-approved instantly. Best regards.
spam,"Hello, Our newsletter is back — read the latest industry news. Thanks."
spam,Note: Hot singles in your area want to meet you tonight. Click here! Best regards.
spam,"Hello, Re: invoice attached — please wire payment by EOD or your account is closed. "
ham,Could you send me the slides from yesterday's lecture?
ham,Members-only discount: 25% off your next subscription renewal.
spam,"Hello, Lose 20 pounds in 10 days with this miracle pill, no exercise! "
spam,"Hello, You have inherited $20 million from a deceased Nigerian prince. "
spam,FYI: Hot deals just for you! Buy 1 get 5 free supplements with free shipping.
ham,"Hello, Reminder: book club meeting on Friday at Sarah's place.  "
spam,Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns.
spam,FYI: Get rich quick with this one weird trick! Doctors hate him. Thanks.
ham,"Sending love from grandma, she misses you."
ham,"Hi, Following up on my previous email — any updates? Thanks."
spam,"Hi, Romantic Russian women are waiting to meet you. Sign up free! Best regards."
ham,"I attached the budget spreadsheet, please review section 3."
spam,"Hi, We've detected a virus on your computer. Call this number immediately. Best regards."
spam,Limited slots: secure your spot in our exclusive trading program now.
spam,Earn while you sleep! Passive income system reveals all secrets.
spam,"Hello, Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to receive entry. Best regards."
ham,FYI: Did you see the new episode last night? It was incredible.
ham,Note: Can you call me when you get a chance? Need to discuss something. Cheers!
ham,"Hi, Your appointment with Dr. Smith is confirmed for Monday at 3pm. Best regards."
ham,Order #4521 has shipped and will arrive by Friday.
ham,Great game tonight! Same time next week?  
spam,"Hello, Final notice: your warranty has expired. Renew now to avoid charges. Thanks."
spam,"FYI: Free Adobe license keys here, no scam! Best regards."
spam,Click here to remove the malware found on your device.
ham,"Hello, I attached the budget spreadsheet, please review section 3."
ham,"Thanks for picking up the groceries earlier, really appreciate it. Best regards."
spam,WINNER!! As a valued network customer you have been selected to receive a 900 prize reward. 
spam,"Hi, Crypto airdrop alert: claim 5 ETH worth of tokens before midnight.  "
spam,"Note: Lose 20 pounds in 10 days with this miracle pill, no exercise!"
spam,Note: Earn $5000 a week from home. No experience required. Apply now!
ham,"Hello, Lunch tomorrow? That new ramen place near the office."
ham,"Hello, The interview went well, thanks for prepping me!"
spam,"Hello, Save the date: our annual summer sale starts June 1st! Cheers!"
ham,Note: Reminder: book club meeting on Friday at Sarah's place.  
ham,Note: Can we postpone? I'm not feeling well today. 
ham,FYI: Can we postpone? I'm not feeling well today. Cheers!
spam,You won a free cruise to the Bahamas! Confirm your booking now. Best regards.
spam,Your tax refund has been approved. Provide bank details to receive funds.
spam,"Hi, Don't miss our weekend brunch special, available Sat and Sun."
spam,"Note: Congratulations! You are the lucky winner of our $5,000,000 lottery. Reply YES to claim. "
ham,Did you see the new episode last night? It was incredible.
spam,Get a discount on luxury watches — limited stock available!
spam,FYI: Hurry! Limited time offer — 80% off all watches at our online store. Cheers!
ham,"Hi, I'm at the airport, see you in two hours.  "
spam,IRS notice: You have an unclaimed refund of $1289. Submit details to claim. 
spam,Note: Verify your Apple ID now to avoid suspension at app1eid-login.com Thanks.
ham,"Hi, Congrats on the promotion! Drinks on me this weekend. Cheers!"
spam,"Hi, Hot deals just for you! Buy 1 get 5 free supplements with free shipping."
spam,"Hi, Free iPhone 15 Pro Max! Just complete this short survey to claim yours. Thanks."
spam,FYI: Earn while you sleep! Passive income system reveals all secrets. 
ham,"Flight delayed two hours, will text you when I board. Best regards."
ham,"Hello, I left the door unlocked, just come in when you arrive. "
ham,"Note: The package arrived this morning, thanks for shipping it so fast. "
ham,"Hi, Running 5 minutes late, sorry! Order the usual for me please. Cheers!"
spam,"Hi, Refinance your mortgage at 0.99% APR — pre-approved instantly. "
ham,"Hi, Hey, are we still meeting for coffee tomorrow at 10am? Best regards."
ham,"Hi, The interview went well, thanks for prepping me! Best regards."
spam,Final notice: your warranty has expired. Renew now to avoid charges.
ham,"FYI: Mom said dinner is at 7, please don't be late. "
ham,FYI: Just a reminder that the office will be closed Monday for the holiday.
ham,Note: Could you send me the slides from yesterday's lecture? 
spam,"Note: Buy one, get one half off on all coffee blends this week. Thanks."
ham,"FYI: I'm at the airport, see you in two hours. Best regards."
spam,"FYI: Congratulations! You are the lucky winner of our $5,000,000 lottery. Reply YES to claim."
spam,"Don't miss our weekend brunch special, available Sat and Sun."
spam,"Hello, Wire transfer needed urgently. Please send $500 to account 8819-2341."
ham,Note: Looking forward to seeing you at the wedding next week. Thanks.
spam,Send this message to 10 people and you'll receive $500 from us.  
ham,FYI: Quick question — do you still have my charger? Thanks.
ham,Just landed safely. Call you once I get to the hotel.
ham,Note: Order #4521 has shipped and will arrive by Friday. Cheers!
ham,"Hello, Quick question — do you still have my charger?"
spam,Romantic Russian women are waiting to meet you. Sign up free!
spam,"Hi, Click here to remove the malware found on your device. Cheers!"
spam,Click here to remove the malware found on your device. Cheers!
spam,"Hi, Final notice: your warranty has expired. Renew now to avoid charges. "
spam,"Buy now, pay never! Free shopping spree just by signing up!"
ham,"Hello, Your flight check-in opens 24 hours before departure. Best regards."
spam,IRS notice: You have an unclaimed refund of $1289. Submit details to claim.
ham,FYI: Looking forward to seeing you at the wedding next week.  
ham,"Hi, Reminder: book club meeting on Friday at Sarah's place."
ham,Can you call me when you get a chance? Need to discuss something.
spam,Note: Your account has been suspended. Verify your identity at http://paypa1-secure.com immediately. 
ham,"Hello, Great game tonight! Same time next week? Best regards."
ham,"Hello, Did you see the new episode last night? It was incredible."
ham,"Library books are due next Wednesday, just a heads up."
spam,"Hi, Limited time only: free trial of our diet pills, click now. "
spam,"Hello, Get a discount on luxury watches — limited stock available!"
spam,"Hello, Buy now, pay never! Free shopping spree just by signing up!  "
spam,Note: IRS notice: You have an unclaimed refund of $1289. Submit details to claim. Cheers!
ham,"FYI: Picking the kids up from school today, you don't have to. "
ham,Note: Your Uber driver is 2 minutes away. Thanks.
ham,"Meeting rescheduled to Thursday 2pm, please update your calendar.  "
ham,"Note: I'll be at the gym from 6 to 7, ping me after. "
ham,Loved the cake you made for the office party!
ham,"FYI: The interview went well, thanks for prepping me!"
ham,"Hi, Members-only discount: 25% off your next subscription renewal.  "
spam,"Hi, Free shipping on orders over $50 this week at our online shop. Best regards."
ham,Can we postpone? I'm not feeling well today.  
spam,"URGENT! You have won a $1,000 Walmart gift card. Click here to claim now! "
spam,FYI: Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns. 
spam,"Hi, Your account has been suspended. Verify your identity at http://paypa1-secure.com immediately."
ham,Note: Just confirming our reservation for 7:30 tonight. Thanks.
spam,"Hello, Bitcoin investment opportunity! Double your money in 48 hours. Guaranteed returns. "
ham,Note: Following up on my previous email — any updates? Cheers!
ham,Don't forget to bring the notes for the study session tonight. Best regards.
ham,FYI: Just landed safely. Call you once I get to the hotel. 
ham,"Hi, Great game tonight! Same time next week?"
ham,"Hello, Library books are due next Wednesday, just a heads up."
ham,"Hi, Project status update attached. Let me know if you have questions. Cheers!"
ham,FYI: Just landed safely. Call you once I get to the hotel.
spam,Note: Claim your Amazon refund now. Click http://amaz0n-refund.co/claim 
spam,Note: Your tax refund has been approved. Provide bank details to receive funds. 
spam,Note: Hurry! Limited time offer — 80% off all watches at our online store. Cheers!
